id_edificacion,tipo_resultado,area_lidar_m2,area_catastro_m2,area_discrepancia_m2,porcentaje_coincidencia,diferencia_superficies_m2,distancia_centroides_m
1,nueva_construccion,58.0,0.0,58.0,0.0,58.0,0.0
2,nueva_construccion,115.75,0.0,115.75,0.0,115.75,0.0
3,nueva_construccion,214.75,0.0,214.75,0.0,214.75,0.0
4,nueva_construccion,1806.5,0.0,1806.5,0.0,1806.5,0.0
5,nueva_construccion,105.25,0.0,105.25,0.0,105.25,0.0
6,nueva_construccion,225.25,0.0,225.25,0.0,225.25,0.0
7,nueva_construccion,101.25,0.0,101.25,0.0,101.25,0.0
8,nueva_construccion,1385.25,0.0,1385.25,0.0,1385.25,0.0
9,nueva_construccion,440.75,0.0,440.75,0.0,440.75,0.0
10,nueva_construccion,2518.75,0.0,2518.75,0.0,2518.75,0.0
11,nueva_construccion,95.75,0.0,95.75,0.0,95.75,0.0
12,nueva_construccion,132.0,0.0,132.0,0.0,132.0,0.0
13,nueva_construccion,42.0,0.0,42.0,0.0,42.0,0.0
14,nueva_construccion,360.5,0.0,360.5,0.0,360.5,0.0
15,nueva_construccion,6180.0,0.0,6180.0,0.0,6180.0,0.0
16,nueva_construccion,136.5,0.0,136.5,0.0,136.5,0.0
17,nueva_construccion,412.75,0.0,412.75,0.0,412.75,0.0
18,nueva_construccion,4396.0,0.0,4396.0,0.0,4396.0,0.0
19,nueva_construccion,14089.75,0.0,14089.75,0.0,14089.75,0.0
20,nueva_construccion,106.25,0.0,106.25,0.0,106.25,0.0
21,nueva_construccion,113.0,0.0,113.0,0.0,113.0,0.0
22,desplazamiento_espacial,1023.25,77.7,945.55,7.59,945.55,9.72
23,nueva_construccion,61.25,0.0,61.25,0.0,61.25,0.0
24,desplazamiento_espacial,1421.5,63.03,1361.1,4.34,1358.47,31.82
25,nueva_construccion,229.0,0.0,229.0,0.0,229.0,0.0
26,nueva_construccion,770.25,0.0,770.25,0.0,770.25,0.0
27,nueva_construccion,308.75,0.0,308.75,0.0,308.75,0.0
28,nueva_construccion,259.75,0.0,259.75,0.0,259.75,0.0
29,nueva_construccion,267.0,0.0,267.0,0.0,267.0,0.0
30,nueva_construccion,61.25,0.0,61.25,0.0,61.25,0.0
31,nueva_construccion,150.0,0.0,150.0,0.0,150.0,0.0
32,nueva_construccion,16463.25,0.0,16463.25,0.0,16463.25,0.0
33,nueva_construccion,835.5,0.0,835.5,0.0,835.5,0.0
34,nueva_construccion,344.5,0.0,344.5,0.0,344.5,0.0
35,nueva_construccion,319.25,0.0,319.25,0.0,319.25,0.0
36,nueva_construccion,142.75,0.0,142.75,0.0,142.75,0.0
37,desplazamiento_espacial,2601.5,138.11,2466.08,5.25,2463.39,24.75
38,nueva_construccion,13482.0,0.0,13482.0,0.0,13482.0,0.0
39,nueva_construccion,41.0,0.0,41.0,0.0,41.0,0.0
40,nueva_construccion,3146.0,0.0,3146.0,0.0,3146.0,0.0
41,nueva_construccion,70.0,0.0,70.0,0.0,70.0,0.0
42,nueva_construccion,784.0,0.0,784.0,0.0,784.0,0.0
43,nueva_construccion,857.0,0.0,857.0,0.0,857.0,0.0
44,nueva_construccion,849.5,0.0,849.5,0.0,849.5,0.0
